City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches,Snow inches
49,Fort-Shevchenko,KZ,2020-05-10 20:09:38,44.51,50.26,54.81,85,100,14.83,light rain,0,0
50,Chuy,UY,2020-05-10 20:09:38,-33.7,-53.46,70.36,63,0,7.58,clear sky,0,0
51,San Patricio,MX,2020-05-10 20:09:38,19.22,-104.7,82.4,78,5,11.41,clear sky,0,0
52,Ushuaia,AR,2020-05-10 20:05:26,-54.8,-68.3,44.6,81,84,3.15,broken clouds,0,0
53,Kodiak,US,2020-05-10 20:05:30,57.79,-152.41,44.6,93,90,9.17,fog,0,0
54,Kamaishi,JP,2020-05-10 20:09:39,39.27,141.88,57.49,78,10,11.45,clear sky,0,0
55,Harper,LR,2020-05-10 20:05:48,4.38,-7.72,81.61,82,98,11.01,overcast clouds,0,0
56,Albany,US,2020-05-10 20:05:01,42.6,-73.97,57.0,30,95,4.0,overcast clouds,0,0
57,Grindavik,IS,2020-05-10 20:08:39,63.84,-22.43,44.6,66,75,14.99,broken clouds,0,0
58,Muscat,OM,2020-05-10 20:09:39,23.61,58.59,86.0,51,0,3.11,clear sky,0,0
59,Portland,US,2020-05-10 20:06:21,45.52,-122.68,84.0,31,1,5.86,clear sky,0,0
60,Mataura,NZ,2020-05-10 20:08:35,-46.19,168.86,44.6,85,67,3.31,broken clouds,0,0
61,Punta Arenas,CL,2020-05-10 20:09:40,-53.15,-70.92,46.0,93,75,11.41,broken clouds,0,0
62,Faanui,PF,2020-05-10 20:05:27,-16.48,-151.75,81.36,82,100,13.98,light rain,0,0
63,Labuhan,ID,2020-05-10 20:06:24,-6.88,112.21,79.0,88,74,8.34,light rain,0,0
64,Alice Springs,AU,2020-05-10 20:05:22,-23.7,133.88,48.2,49,86,5.82,overcast clouds,0,0
65,Geraldton,AU,2020-05-10 20:05:40,-28.77,114.6,53.6,76,0,7.74,clear sky,0,0
66,Bonoua,CI,2020-05-10 20:09:40,5.27,-3.6,84.2,83,20,12.75,few clouds,0,0
67,Florida,US,2020-05-10 20:09:40,28.75,-82.5,82.4,57,75,8.05,broken clouds,0,0
68,Dikson,RU,2020-05-10 20:09:40,73.51,80.55,22.1,98,0,11.01,clear sky,0,0
69,Cordeiro,BR,2020-05-10 20:09:40,-22.03,-42.36,61.81,82,50,2.01,scattered clouds,0,0
70,College,US,2020-05-10 20:06:16,64.86,-147.8,73.99,24,75,4.7,broken clouds,0,0
71,Thompson,CA,2020-05-10 20:08:40,55.74,-97.86,28.4,42,5,13.87,clear sky,0,0
72,Kavieng,PG,2020-05-10 20:08:29,-2.57,150.8,83.35,80,25,10.58,scattered clouds,0,0
73,Parana,AR,2020-05-10 20:09:41,-31.73,-60.52,84.99,43,0,7.0,clear sky,0,0
74,Inhambane,MZ,2020-05-10 20:09:41,-23.86,35.38,69.44,78,27,8.28,scattered clouds,0,0
75,Batagay-Alyta,RU,2020-05-10 20:09:41,67.8,130.41,20.32,94,100,5.99,overcast clouds,0,0
76,Yulara,AU,2020-05-10 20:09:41,-25.24,130.99,55.4,43,82,13.87,broken clouds,0,0
77,Riyadh,SA,2020-05-10 20:06:54,24.69,46.72,91.4,24,90,9.17,overcast clouds,0,0
78,East London,ZA,2020-05-10 20:09:41,-33.02,27.91,73.15,36,0,7.25,clear sky,0,0
79,La Ronge,CA,2020-05-10 20:09:41,55.1,-105.28,37.4,40,75,5.82,broken clouds,0,0
80,Barcelos,PT,2020-05-10 20:09:41,41.54,-8.62,60.8,82,40,9.17,scattered clouds,0,0
81,Port Alfred,ZA,2020-05-10 20:09:42,-33.59,26.89,70.0,49,0,7.99,clear sky,0,0
82,Umm Kaddadah,SD,2020-05-10 20:09:42,13.6,26.69,83.88,13,1,14.25,clear sky,0,0
83,Point Fortin,TT,2020-05-10 20:09:42,10.18,-61.68,89.01,52,42,13.44,scattered clouds,0,0
84,Marystown,CA,2020-05-10 20:06:46,47.17,-55.15,33.87,91,100,30.38,overcast clouds,0,0
85,Joao Pessoa,BR,2020-05-10 20:09:42,-7.12,-34.86,84.2,70,20,10.29,few clouds,0,0
86,Lianran,CN,2020-05-10 20:09:42,24.92,102.48,64.0,48,0,6.71,clear sky,0,0
87,Farmington,US,2020-05-10 20:09:42,36.73,-108.22,78.8,11,1,6.93,clear sky,0,0
88,Cidreira,BR,2020-05-10 20:09:42,-30.18,-50.21,67.87,68,99,10.02,overcast clouds,0,0
89,Naron,ES,2020-05-10 20:09:43,43.52,-8.15,60.01,82,40,2.24,scattered clouds,0,0
90,Cap Malheureux,MU,2020-05-10 20:09:43,-19.98,57.61,69.01,73,46,1.99,scattered clouds,0,0
91,Guarapari,BR,2020-05-10 20:09:43,-20.67,-40.5,75.99,58,0,4.81,clear sky,0,0
92,Barrow,US,2020-05-10 20:08:39,71.29,-156.79,26.6,86,1,6.93,clear sky,0,0
93,Erdenet,MN,2020-05-10 20:09:43,49.03,104.08,44.1,57,60,4.47,broken clouds,0,0
94,Vila Do Maio,CV,2020-05-10 20:09:43,15.13,-23.22,77.0,65,20,21.92,few clouds,0,0
95,Asau,RO,2020-05-10 20:09:43,46.43,26.4,52.0,83,100,4.14,overcast clouds,0,0
96,Bethel,US,2020-05-10 20:05:08,41.37,-73.41,62.01,28,1,9.17,clear sky,0,0
97,Port Macquarie,AU,2020-05-10 20:09:43,-31.43,152.92,46.99,81,3,11.03,clear sky,0,0
98,Moron,AR,2020-05-10 20:09:44,-34.65,-58.62,77.0,44,0,5.82,clear sky,0,0
99,Lebu,CL,2020-05-10 20:09:44,-37.62,-73.65,57.36,76,44,7.05,light rain,0,0
100,Yellowknife,CA,2020-05-10 20:09:44,62.46,-114.35,37.4,47,75,8.05,broken clouds,0,0
101,Newport,GB,2020-05-10 20:09:44,51.59,-3.0,48.0,70,59,1.99,broken clouds,0,0
102,Abancay,PE,2020-05-10 20:09:44,-13.63,-72.88,70.0,52,54,7.7,moderate rain,0,0
103,Jawa,JO,2020-05-10 20:09:44,31.85,35.94,60.8,67,0,4.7,clear sky,0,0
104,Saldanha,ZA,2020-05-10 20:09:44,-33.01,17.94,59.0,72,0,4.7,clear sky,0,0
105,Hilo,US,2020-05-10 20:08:32,19.73,-155.09,78.8,57,1,4.7,clear sky,0,0
106,Mar Del Plata,AR,2020-05-10 20:04:53,-38.0,-57.56,70.0,46,89,9.17,overcast clouds,0,0
107,Hovd,MN,2020-05-10 20:05:43,48.01,91.64,47.1,41,0,0.43,clear sky,0,0
108,Coquimbo,CL,2020-05-10 20:05:24,-29.95,-71.34,59.0,77,20,11.41,few clouds,0,0
109,Asyut,EG,2020-05-10 20:08:14,27.18,31.18,78.8,36,0,11.41,clear sky,0,0
110,Brae,GB,2020-05-10 20:04:53,60.4,-1.35,39.2,60,100,23.04,overcast clouds,0,0
111,Am Timan,TD,2020-05-10 20:09:45,11.03,20.28,92.37,28,59,4.63,broken clouds,0,0
112,Husavik,IS,2020-05-10 20:09:45,66.04,-17.34,50.0,34,10,33.33,clear sky,0,0
113,Tiksi,RU,2020-05-10 20:09:45,71.69,128.87,26.04,98,99,4.81,overcast clouds,0,0
114,Ribeira Grande,PT,2020-05-10 20:09:45,38.52,-28.7,60.8,67,20,24.16,few clouds,0,0
115,Ostersund,SE,2020-05-10 20:09:46,63.18,14.64,32.0,87,0,13.87,clear sky,0,0
116,Ilulissat,GL,2020-05-10 20:05:37,69.22,-51.1,32.0,91,100,10.29,overcast clouds,0,0
117,Lovozero,RU,2020-05-10 20:09:46,68.0,35.01,31.95,96,100,18.12,overcast clouds,0,0
118,Fortuna,US,2020-05-10 20:09:46,40.6,-124.16,63.0,87,1,13.87,clear sky,0,0
119,Luderitz,NA,2020-05-10 20:09:46,-26.65,15.16,73.4,43,0,1.12,clear sky,0,0
120,Aracatuba,BR,2020-05-10 20:09:46,-21.21,-50.43,76.42,59,0,5.26,clear sky,0,0
121,Iskateley,RU,2020-05-10 20:09:46,67.68,53.15,33.6,94,100,6.73,overcast clouds,0,0
122,Pochutla,MX,2020-05-10 20:09:46,15.74,-96.47,93.0,49,40,11.41,scattered clouds,0,0
123,Gorontalo,ID,2020-05-10 20:09:47,0.54,123.06,77.83,85,97,4.43,overcast clouds,0,0
124,Maceio,BR,2020-05-10 20:06:55,-9.67,-35.74,77.0,88,75,2.24,broken clouds,0,0
125,Saint-Philippe,RE,2020-05-10 20:04:59,-21.36,55.77,69.8,56,40,10.29,scattered clouds,0,0
126,Teya,RU,2020-05-10 20:09:47,60.38,92.63,49.93,55,75,4.34,broken clouds,0,0
127,Myaundzha,RU,2020-05-10 20:09:47,63.05,147.19,27.18,96,100,4.0,overcast clouds,0,0
128,Kinsale,IE,2020-05-10 20:09:47,51.71,-8.53,50.0,66,75,21.92,broken clouds,0,0
129,Port Elizabeth,ZA,2020-05-10 20:08:46,-33.92,25.57,59.0,62,0,6.93,clear sky,0,0
130,Perigueux,FR,2020-05-10 20:09:47,45.18,0.72,59.0,91,100,6.62,overcast clouds,0,0
131,Rio Gallegos,AR,2020-05-10 20:09:47,-51.62,-69.22,44.6,87,42,8.05,scattered clouds,0,0
132,Chokurdakh,RU,2020-05-10 20:09:47,70.63,147.92,29.01,98,99,15.68,overcast clouds,0,0
133,Gao,ML,2020-05-10 20:09:48,16.64,1.64,92.84,9,2,7.14,clear sky,0,0
134,Vestmannaeyjar,IS,2020-05-10 20:09:48,63.44,-20.27,43.54,70,18,13.58,few clouds,0,0
135,Ponta Do Sol,PT,2020-05-10 20:05:33,32.67,-17.1,68.0,72,20,2.24,few clouds,0,0
136,Abalak,RU,2020-05-10 20:09:48,58.13,68.59,61.32,60,99,5.53,overcast clouds,0,0
137,Poronaysk,RU,2020-05-10 20:09:48,49.22,143.12,38.3,93,100,5.06,light rain,0,0
138,Shingu,JP,2020-05-10 20:09:48,33.73,135.98,64.02,92,100,4.92,overcast clouds,0,0
139,Khatanga,RU,2020-05-10 20:09:48,71.97,102.5,20.44,96,86,6.69,overcast clouds,0,0
140,Doka,SD,2020-05-10 20:09:48,13.52,35.77,89.11,17,52,7.36,broken clouds,0,0
141,Lompoc,US,2020-05-10 20:05:07,34.64,-120.46,62.01,93,90,5.82,overcast clouds,0,0
142,Santa Clara,CU,2020-05-10 20:09:48,22.4,-79.97,77.0,100,75,3.36,moderate rain,0,0
143,Gerash,IR,2020-05-10 20:09:49,27.67,54.14,82.4,37,98,4.7,overcast clouds,0,0
144,Dali,CN,2020-05-10 20:09:49,25.7,100.18,57.87,63,0,5.01,clear sky,0,0
145,Naze,JP,2020-05-10 20:09:49,28.37,129.48,71.6,100,75,6.93,broken clouds,0,0
146,Bathsheba,BB,2020-05-10 20:09:49,13.22,-59.52,86.0,58,40,18.34,scattered clouds,0,0
147,Namatanai,PG,2020-05-10 20:09:49,-3.67,152.43,80.65,79,97,6.89,overcast clouds,0,0
148,Norman Wells,CA,2020-05-10 20:09:49,65.28,-126.83,48.2,61,20,11.41,few clouds,0,0
149,Seymour,US,2020-05-10 20:09:22,38.96,-85.89,60.01,76,75,10.29,broken clouds,0,0
150,Calvia,ES,2020-05-10 20:09:49,39.57,2.51,66.2,82,0,13.87,light rain,0,0
151,Longyearbyen,SJ,2020-05-10 20:09:50,78.22,15.64,17.6,67,75,6.93,broken clouds,0,0
152,Cabo San Lucas,MX,2020-05-10 20:09:50,22.89,-109.91,87.8,30,20,9.17,few clouds,0,0
153,Poum,NC,2020-05-10 20:09:50,-20.23,164.02,74.19,74,5,7.56,clear sky,0,0
154,Walvis Bay,NA,2020-05-10 20:09:50,-22.96,14.51,75.88,34,0,11.79,clear sky,0,0
155,Semporna,MY,2020-05-10 20:09:50,4.48,118.61,78.8,94,20,3.36,few clouds,0,0
156,Saint George,US,2020-05-10 20:05:12,37.1,-113.58,91.99,16,1,3.36,clear sky,0,0
157,Methoni,GR,2020-05-10 20:09:50,36.82,21.7,64.0,82,20,0.16,few clouds,0,0
158,Saint-Pierre,RE,2020-05-10 20:09:50,-21.34,55.48,69.8,56,40,10.29,scattered clouds,0,0
159,Abu Samrah,SY,2020-05-10 20:09:50,35.3,37.18,62.17,56,0,8.52,clear sky,0,0
