City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Bethel,US,2020-05-07 23:39:52,41.37,-73.41,60.8,19,40,8.05
70,Vaini,TO,2020-05-07 23:39:53,-21.2,-175.2,80.6,88,75,11.41
71,Thompson,CA,2020-05-07 23:39:53,55.74,-97.86,33.8,55,40,11.41
72,Taos,US,2020-05-07 23:39:53,36.41,-105.57,77.0,6,1,24.16
73,Kutum,SD,2020-05-07 23:39:53,14.2,24.67,74.3,19,38,7.99
74,Deputatskiy,RU,2020-05-07 23:39:53,69.3,139.9,23.86,98,100,7.76
75,Manta,EC,2020-05-07 23:38:26,-0.95,-80.73,84.2,79,75,6.93
76,Port Moresby,PG,2020-05-07 23:39:53,-9.44,147.18,80.6,78,75,11.41
77,Zhezkazgan,KZ,2020-05-07 23:39:53,47.8,67.71,57.22,46,0,16.87
78,Loviisa,FI,2020-05-07 23:39:54,60.46,26.23,37.99,70,1,1.01
79,Gogrial,SS,2020-05-07 23:39:54,8.53,28.1,79.97,68,91,4.25
80,Fortuna,US,2020-05-07 23:39:54,40.6,-124.16,66.0,72,40,14.99
81,Bambous Virieux,MU,2020-05-07 23:39:54,-20.34,57.76,73.99,94,40,4.7
82,Saint George,US,2020-05-07 23:37:24,37.1,-113.58,87.8,8,1,10.29
83,Olafsvik,IS,2020-05-07 23:39:54,64.89,-23.71,40.6,79,85,11.3
84,Carnarvon,AU,2020-05-07 23:39:54,-24.87,113.63,62.15,62,0,23.55
85,Qaanaaq,GL,2020-05-07 23:39:54,77.48,-69.36,14.95,92,100,4.07
86,Itatskiy,RU,2020-05-07 23:39:54,56.07,89.04,39.04,81,28,2.71
87,Bay Roberts,CA,2020-05-07 23:39:54,47.6,-53.26,42.01,47,93,3.4
88,Denpasar,ID,2020-05-07 23:39:55,-8.65,115.22,80.6,100,20,3.36
89,Meulaboh,ID,2020-05-07 23:39:55,4.14,96.13,75.51,95,100,1.1
90,Nikolskoye,RU,2020-05-07 23:39:55,59.7,30.79,37.4,86,0,4.47
91,Kholmogory,RU,2020-05-07 23:39:55,64.22,41.66,33.8,94,85,4.47
92,Upata,VE,2020-05-07 23:39:55,8.01,-62.4,77.83,69,85,8.95
93,Le Port,RE,2020-05-07 23:39:55,-20.94,55.29,73.4,69,99,6.93
94,Hithadhoo,MV,2020-05-07 23:39:55,-0.6,73.08,84.43,78,22,14.38
95,Chengde,CN,2020-05-07 23:35:42,40.97,117.94,53.13,88,100,1.77
96,Jamestown,US,2020-05-07 23:39:55,42.1,-79.24,41.0,86,90,11.41
97,Rosetta,EG,2020-05-07 23:39:55,31.4,30.42,66.2,63,0,3.36
98,Narsaq,GL,2020-05-07 23:39:56,60.92,-46.05,48.2,57,71,4.7
99,Muli,MV,2020-05-07 23:39:56,2.92,73.57,84.61,73,32,13.71
100,Nantucket,US,2020-05-07 23:39:34,41.28,-70.1,51.01,76,1,6.93
101,Andros Town,BS,2020-05-07 23:39:56,24.7,-77.77,78.8,69,40,12.75
102,Aklavik,CA,2020-05-07 23:39:56,68.22,-135.01,33.8,64,5,9.17
103,Tiksi,RU,2020-05-07 23:39:56,71.69,128.87,12.72,96,100,13.51
104,Abay,KZ,2020-05-07 23:39:56,49.63,72.85,41.0,86,100,11.18
105,Port Hardy,CA,2020-05-07 23:39:56,50.7,-127.42,59.0,54,75,4.7
106,Padang,ID,2020-05-07 23:39:57,-0.95,100.35,77.14,84,100,6.85
107,Devils Lake,US,2020-05-07 23:39:57,48.11,-98.87,48.2,24,1,18.34
108,Husavik,IS,2020-05-07 23:39:57,66.04,-17.34,33.8,80,75,26.4
109,Kahului,US,2020-05-07 23:39:43,20.89,-156.47,82.4,58,40,18.34
110,Mount Gambier,AU,2020-05-07 23:39:57,-37.83,140.77,53.6,93,90,9.17
111,Tautira,PF,2020-05-07 23:39:57,-17.73,-149.15,87.8,62,4,6.93
112,Dicabisagan,PH,2020-05-07 23:39:57,17.08,122.42,85.26,68,11,0.11
113,Arica,CL,2020-05-07 23:39:57,-18.48,-70.3,64.4,82,74,6.93
114,Flinders,AU,2020-05-07 23:39:57,-34.58,150.86,70.0,67,0,8.99
115,Palmer,US,2020-05-07 23:39:57,42.16,-72.33,62.6,17,20,9.17
116,Buala,SB,2020-05-07 23:39:58,-8.14,159.59,86.49,64,24,1.95
117,Lewiston,US,2020-05-07 23:39:58,44.1,-70.21,53.6,50,94,9.17
118,Norman Wells,CA,2020-05-07 23:39:58,65.28,-126.83,42.8,52,20,9.17
119,Ilulissat,GL,2020-05-07 23:39:50,69.22,-51.1,30.2,63,0,12.75
120,Staunton,US,2020-05-07 23:35:20,38.15,-79.07,62.6,23,1,4.7
121,Khunti,IN,2020-05-07 23:39:58,23.08,85.28,75.2,73,40,3.09
122,Saint-Philippe,RE,2020-05-07 23:39:58,-21.36,55.77,75.2,73,75,4.7
123,Zhangjiakou,CN,2020-05-07 23:39:58,40.81,114.88,60.57,62,100,3.83
124,Usinsk,RU,2020-05-07 23:39:58,65.99,57.53,52.65,91,97,18.7
125,Rumuruti,KE,2020-05-07 23:39:59,0.27,36.54,58.23,89,26,6.53
126,Soyo,AO,2020-05-07 23:39:59,-6.13,12.37,79.84,89,88,3.87
127,Ribeira Grande,PT,2020-05-07 23:39:59,38.52,-28.7,62.24,80,7,18.66
128,Faanui,PF,2020-05-07 23:39:59,-16.48,-151.75,81.57,78,24,15.14
129,Biak,ID,2020-05-07 23:39:59,-0.91,122.88,81.63,79,77,6.31
130,Portland,US,2020-05-07 23:35:04,45.52,-122.68,75.99,23,20,18.34
131,Vestmannaeyjar,IS,2020-05-07 23:39:59,63.44,-20.27,44.4,75,18,16.13
132,Teruel,ES,2020-05-07 23:39:59,40.67,-0.67,59.0,81,94,5.82
