City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
446,Celestun,MX,83.19,clear sky,20.87,-90.4,
448,Lamu,KE,77.92,moderate rain,-2.27,40.9,
454,Labrea,BR,86.38,light rain,-7.26,-64.8,
455,Cururupu,BR,82.81,scattered clouds,-1.83,-44.87,
456,Nioro,GM,80.49,few clouds,13.35,-15.75,
458,Port-Gentil,GA,77.0,few clouds,-0.72,8.78,
459,San-Pedro,CI,79.63,moderate rain,4.75,-6.64,
461,Nizwa,OM,83.68,clear sky,22.93,57.53,
462,Tikamgarh,IN,89.51,broken clouds,24.75,78.83,
463,Vanimo,PG,78.98,light rain,-2.67,141.3,
464,Botro,CI,82.4,few clouds,7.85,-5.31,
466,Raga,SS,76.62,light rain,8.46,25.68,
472,Casas Grandes,MX,84.72,broken clouds,30.37,-107.95,
475,Concordia,AR,82.4,clear sky,-31.39,-58.02,
477,Hambantota,LK,81.9,light rain,6.12,81.12,
478,Waingapu,ID,75.74,scattered clouds,-9.66,120.26,
481,Bela,IN,89.42,few clouds,25.93,81.98,
482,Yellapur,IN,76.26,few clouds,14.97,74.72,
483,Bucerias,MX,84.2,few clouds,20.75,-105.33,
485,Samarai,PG,79.54,clear sky,-10.62,150.67,
487,San Vicente,AR,76.64,clear sky,-26.62,-54.13,
488,Barpeta,IN,80.91,clear sky,26.32,91.0,
490,Rio Grande,BR,82.4,broken clouds,-32.03,-52.1,
492,Manavalakurichi,IN,82.4,mist,8.13,77.3,
499,Soyo,AO,79.75,light rain,-6.13,12.37,
502,Olinda,BR,84.2,shower rain,-8.01,-34.86,
507,Narasapur,IN,82.49,clear sky,16.45,81.67,
509,Campbell River,CA,75.2,scattered clouds,50.02,-125.24,
512,Mandali,IQ,75.88,clear sky,33.75,45.55,
517,Amuntai,ID,75.96,overcast clouds,-2.42,115.25,
522,Pombas,CV,75.2,broken clouds,17.15,-25.02,
528,Porto Walter,BR,88.23,overcast clouds,-8.27,-72.74,
531,Les Cayes,HT,83.82,broken clouds,18.2,-73.75,
534,Sabang,ID,82.08,moderate rain,5.89,95.32,
535,Maldonado,UY,78.8,clear sky,-34.67,-54.92,
537,Kiunga,PG,75.22,overcast clouds,-6.12,141.29,
539,Vallenar,CL,79.65,clear sky,-28.57,-70.76,
542,Dwarka,IN,81.41,clear sky,22.24,68.97,
545,Hobyo,SO,84.72,broken clouds,5.35,48.53,
547,Paciran,ID,79.32,light rain,-6.88,112.38,
550,Jalu,LY,77.47,clear sky,29.03,21.55,Jalu Hotel
